scenario_number,scenario,seed,algorithm,runtime_seconds,true_theta,first_invalid_step,noise_changed_decisions,ordinary_final_angular_error_degrees,ordinary_final_normalized_regret,ordinary_final_zero_regret_rate,ordinary_final_estimate_valid,ordinary_final_status,ordinary_first_threshold_step,ordinary_stable_threshold_step,ordinary_first_angular_threshold_step,ordinary_stable_angular_threshold_step,ordinary_first_joint_threshold_step,ordinary_stable_joint_threshold_step,balanced_final_angular_error_degrees,balanced_final_normalized_regret,balanced_final_zero_regret_rate,balanced_final_estimate_valid,balanced_final_status,balanced_first_threshold_step,balanced_stable_threshold_step,balanced_first_angular_threshold_step,balanced_stable_angular_threshold_step,balanced_first_joint_threshold_step,balanced_stable_joint_threshold_step
1,bridge-6d,0,Pedro algorithm,0.6564951000036672,"[0.45495420639053, 0.3530031339628266, 0.3873660460480055, 0.4749008270321046, 0.3676273786507615, 0.3970797386164559]",,3,10.730762041056837,0.02912185742197477,0.8333333333333334,True,valid,,,,,,,10.730762041056837,0.028588765102207283,0.8166666666666667,True,valid,,,,,,
1,bridge-6d,0,Score base model,13.805342499981634,"[0.45495420639053, 0.3530031339628266, 0.3873660460480055, 0.4749008270321046, 0.3676273786507615, 0.3970797386164559]",,1,3.5851809671074117,0.003675796487833128,0.9416666666666667,True,valid,9,17,14,20,14,20,3.5851809671074117,0.0013162769964139675,0.9666666666666667,True,valid,10,17,14,20,14,20
1,bridge-6d,1,Pedro algorithm,0.0878169999923557,"[0.40232759866564094, 0.4412621496813485, 0.42099605775695226, 0.3674670238971342, 0.38489337964417486, 0.42779388800905865]",,2,30.442321713929143,0.018186368619266532,0.8833333333333333,True,valid,9,,,,,,30.442321713929143,0.033941106531662164,0.8833333333333333,True,valid,9,,,,,
1,bridge-6d,1,Score base model,13.726624500006437,"[0.40232759866564094, 0.4412621496813485, 0.42099605775695226, 0.3674670238971342, 0.38489337964417486, 0.42779388800905865]",,2,2.2261067903203777,0.0005387544793038322,0.9833333333333333,True,valid,11,18,11,20,11,20,2.2261067903203777,0.0009548619570950506,0.9666666666666667,True,valid,11,17,11,20,11,20
1,bridge-6d,2,Pedro algorithm,0.09888289996888489,"[0.3742673404657403, 0.47366573575536497, 0.36000779480848577, 0.3776279553089764, 0.46378233956945625, 0.3850482894155029]",,1,21.86700728798888,0.012682213901351425,0.9,True,valid,,,,,,,21.86700728798888,0.021278661025650836,0.8833333333333333,True,valid,,,,,,
1,bridge-6d,2,Score base model,13.331402000039816,"[0.3742673404657403, 0.47366573575536497, 0.36000779480848577, 0.3776279553089764, 0.46378233956945625, 0.3850482894155029]",,0,3.3893466449783847,0.0015885321151482858,0.95,True,valid,11,18,18,18,18,18,3.3893466449783847,0.00117221450941917,0.9583333333333334,True,valid,10,16,18,18,18,18
1,bridge-6d,3,Pedro algorithm,0.053522299975156784,"[0.3511631328590314, 0.42197147879206615, 0.4711466882511168, 0.4152405233340361, 0.44889121389298914, 0.3204954121787499]",9,1,,,,False,degenerate_cone,,,,,,,,,,False,degenerate_cone,,,,,,
1,bridge-6d,3,Score base model,13.139956700033508,"[0.3511631328590314, 0.42197147879206615, 0.4711466882511168, 0.4152405233340361, 0.44889121389298914, 0.3204954121787499]",,2,4.762360687768878,0.00403867517757633,0.95,True,valid,7,13,11,20,11,20,4.762360687768878,0.004418737461620646,0.9416666666666667,True,valid,7,13,11,20,11,20
1,bridge-6d,4,Pedro algorithm,0.089196200016886,"[0.3958899184734718, 0.4415658155099602, 0.4461158037591671, 0.3456569377883811, 0.35459782865906625, 0.4517224301818969]",,0,4.124812737099896,0.002256517415518443,0.9666666666666667,True,valid,20,20,20,20,20,20,4.124812737099896,0.002387334500030027,0.9416666666666667,True,valid,20,20,20,20,20,20
1,bridge-6d,4,Score base model,13.343879199936055,"[0.3958899184734718, 0.4415658155099602, 0.4461158037591671, 0.3456569377883811, 0.35459782865906625, 0.4517224301818969]",,2,3.9785918356525114,0.0036848805493005584,0.9416666666666667,True,valid,8,12,10,18,10,18,3.9785918356525114,0.002319215024448569,0.9583333333333334,True,valid,9,12,10,18,10,18
2,boundaries-4d,0,Pedro algorithm,0.08242989995051175,"[0.5093892817681318, 0.4902692407043151, 0.5247742971573647, 0.474099745076872]",,0,20.4984778986051,0.04287555784182332,0.8916666666666667,True,valid,,,,,,,,,,,,,,,,,
2,boundaries-4d,0,Score base model,14.480912099941634,"[0.5093892817681318, 0.4902692407043151, 0.5247742971573647, 0.474099745076872]",,3,0.93472608059721,2.242193692606015e-05,0.9916666666666667,True,valid,16,16,17,17,17,17,,,,,,,,,,,
2,boundaries-4d,1,Pedro algorithm,0.07625969999935478,"[0.5205761001365499, 0.4164173827468084, 0.5275812096302577, 0.5265502393485288]",,1,15.450554989374082,0.03711450090497385,0.8333333333333334,True,valid,19,,,,,,,,,,,,,,,,
