scenario_number,scenario,seed,algorithm,step,estimate_valid,estimate_status,angular_error_degrees,normalized_regret,balanced_normalized_regret,zero_regret_rate,maximum_normalized_regret,joint_target_met,candidate_group,candidate_index,incenter_radius,ensemble_spread,legacy_failure_reason,theta_hat_before,theta_hat_after,query,observed_decision,true_decision,true_theta,expert_parameter
1,bridge-6d,0,Pedro algorithm,1,True,valid,78.61864664959256,0.6546378812971725,0.689372996693368,0.175,1.0,False,1,52,0.9383536356624167,,,"[0.4082482904638631,0.4082482904638631,0.4082482904638631,0.4082482904638631,0.4082482904638631,0.4082482904638631]","[-1.2384080568268832e-08,0.9383536356624165,-0.34567680636012427,-4.585875003743921e-09,-4.585875014067558e-09,-4.585874975364505e-09]","[0.0,-0.7610150910932025,-0.6487341760138775,0.0,0.0,0.0]","[0,1,0,0,0,0]","[0,1,0,0,0,0]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.45811555944785765,0.33024949870765924,0.36842384780955956,0.48000636555098014,0.39845319992318756,0.3951685813191958]"
1,bridge-6d,0,Pedro algorithm,2,True,valid,72.73093319256482,0.3239270146614673,0.37900195251374225,0.36666666666666664,1.0,False,3,68,0.6670107782414271,,,"[-1.2384080568268832e-08,0.9383536356624165,-0.34567680636012427,-4.585875003743921e-09,-4.585875014067558e-09,-4.585874975364505e-09]","[-6.790167797909206e-09,0.6670107782414273,-0.2457177623311607,-4.438701423851863e-09,0.6670107782414272,-0.22319503734302223]","[0.0,0.0,0.0,0.0,-0.7986089714937477,-0.6018502393865924]","[0,0,0,0,1,0]","[0,0,0,0,1,0]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.4714594080088263,0.35876647681523605,0.3999872816635935,0.46492360454092124,0.3593725367940212,0.37910452115455684]"
1,bridge-6d,0,Pedro algorithm,3,True,valid,57.68892714441238,0.2558460952119977,0.3133519165378756,0.5416666666666666,1.0,False,0,42,0.4583491449851318,,,"[-6.790167797909206e-09,0.6670107782414273,-0.2457177623311607,-4.438701423851863e-09,0.6670107782414272,-0.22319503734302223]","[0.7264975798385115,0.4583491449851319,-0.16884963473765835,-6.41709555412516e-09,0.45834914498513185,-0.15337271580651235]","[-0.9025541785687834,-0.4305763053722636,0.0,0.0,0.0,0.0]","[1,0,0,0,0,0]","[1,0,0,0,0,0]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.4397885904505033,0.31729903411458976,0.3624264662966302,0.4989106213962091,0.4075843031726649,0.39939654837335165]"
1,bridge-6d,0,Pedro algorithm,4,True,valid,49.057160527600004,0.21421279696514872,0.29445249878134,0.625,1.0,False,3,118,0.14657191175959727,,,"[0.7264975798385115,0.4583491449851319,-0.16884963473765835,-6.41709555412516e-09,0.45834914498513185,-0.15337271580651235]","[0.23232101626178156,0.1465719117595972,-0.053995112752337565,-3.315970480940295e-09,0.6880648512630513,0.6694736083171132]","[0.0,0.0,0.0,0.0,-0.5797550216229094,-0.8147908411997645]","[0,0,0,0,0,1]","[0,0,0,0,0,1]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.46356769491119215,0.36566070162595693,0.4135589925390964,0.46367193211218494,0.3746874966814463,0.3535305112902264]"
1,bridge-6d,0,Pedro algorithm,5,True,valid,49.05716056081502,0.21421279696514872,0.29445249878134,0.625,1.0,False,1,25,0.14657191147467802,,,"[0.23232101626178156,0.1465719117595972,-0.053995112752337565,-3.315970480940295e-09,0.6880648512630513,0.6694736083171132]","[0.23232101581015183,0.14657191147467857,-0.05399511264737513,-4.238079456331418e-09,0.6880648499253955,0.6694736070154326]","[0.0,-0.8961275857883887,-0.4437965186761544,0.0,0.0,0.0]","[0,1,0,0,0,0]","[0,1,0,0,0,0]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.4609885719706418,0.3515646197042946,0.39854180287859303,0.47760063050558693,0.3456262312275967,0.396858201466213]"
1,bridge-6d,0,Pedro algorithm,6,True,valid,49.05716058738821,0.21421279696514872,0.29445249878134,0.625,1.0,False,2,16,0.14657191147467755,,,"[0.23232101581015183,0.14657191147467857,-0.05399511264737513,-4.238079456331418e-09,0.6880648499253955,0.6694736070154326]","[0.23232101581015022,0.14657191147467857,-0.05399511264737477,-4.975766665487446e-09,0.6880648499254071,0.6694736070154402]","[0.0,0.0,0.0,-0.6191545344372867,-0.7852691656277782,0.0]","[0,0,0,0,1,0]","[0,0,0,0,1,0]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.4831106920250087,0.3592462136047845,0.3648325708845973,0.4513359303176992,0.3637538003304072,0.4103930594356114]"
1,bridge-6d,0,Pedro algorithm,7,True,valid,36.42796651920746,0.06108055218743387,0.05465427084926106,0.8,0.7241253351572277,False,2,15,0.12724125900769795,,,"[0.23232101581015022,0.14657191147467857,-0.05399511264737477,-4.975766665487446e-09,0.6880648499254071,0.6694736070154402]","[0.2016813334029414,0.12724125900769845,-0.04687396135037361,0.49636330986456323,0.5973193424483317,0.5811800076291164]","[0.0,0.0,0.0,-0.8634268251293454,-0.5044741000755726,0.0]","[0,0,0,1,0,0]","[0,0,0,1,0,0]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.4570798998305252,0.37398546784097214,0.3935811392341089,0.454786522149887,0.34572548101426975,0.4122497215306873]"
1,bridge-6d,0,Pedro algorithm,8,True,valid,36.42796651920736,0.06108055218743387,0.05465427084926106,0.8,0.7241253351572277,False,4,114,0.12724125900944408,,,"[0.2016813334029414,0.12724125900769845,-0.04687396135037361,0.49636330986456323,0.5973193424483317,0.5811800076291164]","[0.2016813334057085,0.12724125900944486,-0.04687396135101666,0.4963633098713616,0.5973193424565154,0.5811800076370837]","[0.0,0.0,-0.6989329478010009,-0.7151872024010242,0.0,0.0]","[0,0,0,1,0,0]","[0,0,0,1,0,0]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.4663424114075015,0.36391435375418923,0.38348639074956314,0.47689422281850136,0.3469243160447285,0.39401104774284657]"
1,bridge-6d,0,Pedro algorithm,9,True,valid,26.814559196672498,0.07413719192459839,0.07307056678293528,0.7333333333333333,0.7241253351572277,False,0,65,0.11357540644193409,,,"[0.2016813334057085,0.12724125900944486,-0.04687396135101666,0.4963633098713616,0.5973193424565154,0.5811800076370837]","[0.31231183372932425,0.39087832285949936,-3.451675302339415e-09,0.44305333899063476,0.5331665815260055,0.5187606291950537]","[-0.6191545344372867,-0.7852691656277782,0.0,0.0,0.0,0.0]","[0,1,0,0,0,0]","[0,1,0,0,0,0]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.4683458885957615,0.36973135536113083,0.41048159751240754,0.4807246046863153,0.3426040092602232,0.3563454207506203]"
1,bridge-6d,0,Pedro algorithm,10,True,valid,26.814559221205425,0.07413719192459839,0.07307056678293528,0.7333333333333333,0.7241253351572277,False,1,67,0.11357540644637173,,,"[0.31231183372932425,0.39087832285949936,-3.451675302339415e-09,0.44305333899063476,0.5331665815260055,0.5187606291950537]","[0.3123118337415404,0.390878322874783,-3.950330377720564e-09,0.44305333900792676,0.5331665815467949,0.5187606292152881]","[0.0,-0.7986089714937477,-0.6018502393865924,0.0,0.0,0.0]","[0,1,0,0,0,0]","[0,1,0,0,0,0]","[0.45495420639053,0.3530031339628266,0.3873660460480055,0.4749008270321046,0.3676273786507615,0.3970797386164559]","[0.45387797653970824,0.35872785423831993,0.4025114437483355,0.48893801240049156,0.32798422655936277,0.39580249344279583]"
