scenario,family,algorithm,valid_at_T,ever_invalid,final_angle_mean_degrees_valid_only,final_regret_mean_valid_only,final_angle_le_5,final_regret_le_0_01,sustained_joint_successes,mean_sustained_joint_step_successes_only,mean_runtime_seconds
Ordinary balanced choice,balanced-choice-4d,Pedro algorithm,5,0,10.673730286618065,0.01007287994665412,0,3,0,,0.0764273599954322
Ordinary balanced choice,balanced-choice-4d,Genious Pedro,2,3,1.6722040880027373,0.0004902709081848384,2,2,2,15.5,0.24577838003169744
Ordinary balanced choice,balanced-choice-4d,Score base model,5,0,2.0079588791553773,0.00037028836621201067,5,5,5,15.0,14.267045300011523
Ordinary balanced choice,balanced-choice-4d,Uniform Online SAMD,5,0,37.238422697451604,0.08048266400343038,0,0,0,,0.004239159962162375
Ordinary subset selection,balanced-subset-6d,Pedro algorithm,5,0,9.03644460524136,0.0017312806717836291,1,5,1,17.0,0.09912555997725576
Ordinary subset selection,balanced-subset-6d,Genious Pedro,3,2,4.752359963590059,0.0005353857009930371,1,3,1,12.0,0.24893942002672703
Ordinary subset selection,balanced-subset-6d,Score base model,5,0,3.269275940072936,0.0003214991482905367,4,5,4,14.0,12.28955132002011
Ordinary subset selection,balanced-subset-6d,Uniform Online SAMD,5,0,34.375052880997565,0.03197032574916858,0,0,0,,0.004035559971816838
Several boundaries to locate,boundaries-4d,Pedro algorithm,4,1,10.2014665918347,0.0206301569347945,2,2,2,10.5,0.07479820002336054
Several boundaries to locate,boundaries-4d,Genious Pedro,0,5,,,0,0,0,,0.14523963995743544
Several boundaries to locate,boundaries-4d,Score base model,5,0,1.7153113995984164,0.00036830775250029483,5,5,5,16.6,14.571207020012661
Several boundaries to locate,boundaries-4d,Uniform Online SAMD,5,0,54.91942924608768,0.11987651578000169,0,0,0,,0.004230739991180598
Connecting two groups,bridge-6d,Pedro algorithm,4,1,16.79122594501869,0.015561739339527791,1,1,1,20.0,0.25148265999741853
Connecting two groups,bridge-6d,Genious Pedro,4,1,26.959245729975436,0.05557038386480671,0,0,0,,0.3755100200418383
Connecting two groups,bridge-6d,Score base model,5,0,3.588317385165513,0.0027053277618324266,5,5,5,19.2,24.65590407999698
Connecting two groups,bridge-6d,Uniform Online SAMD,5,0,41.658620144466,0.1363008381883121,0,0,0,,0.006975940032862127
Small budget-constrained selection,knapsack-6d,Pedro algorithm,5,0,16.253567501521907,0.010483523146046534,0,3,0,,0.10685797999612986
Small budget-constrained selection,knapsack-6d,Genious Pedro,3,2,3.477114632644399,0.0006979949220966042,2,3,2,18.0,0.21527215996757149
Small budget-constrained selection,knapsack-6d,Score base model,5,0,5.492412405351472,0.0005388256714660497,2,5,2,20.0,8.87423265997786
Small budget-constrained selection,knapsack-6d,Uniform Online SAMD,5,0,34.139313749157274,0.041273233864109506,0,0,0,,0.004005419998429715
Query-dependent parameter noise,query-noise-4d,Pedro algorithm,5,0,15.319797747515967,0.017698728030435436,0,1,0,,0.0555560999782756
Query-dependent parameter noise,query-noise-4d,Genious Pedro,2,3,7.853641719094499,0.007119672192479805,0,2,0,,0.16106624002568423
Query-dependent parameter noise,query-noise-4d,Score base model,5,0,3.9335421507533717,0.0009679298284374799,5,5,5,16.8,10.052466939995066
Query-dependent parameter noise,query-noise-4d,Uniform Online SAMD,5,0,39.679846593199144,0.08422478654190961,0,0,0,,0.0035689199808984994
Similar queries versus varied queries,redundancy-6d,Pedro algorithm,5,0,30.565217972796585,0.018779892978624,0,2,0,,0.10965448000933975
Similar queries versus varied queries,redundancy-6d,Genious Pedro,1,4,34.74681414410047,0.019463909500999143,0,0,0,,0.259304580045864
Similar queries versus varied queries,redundancy-6d,Score base model,5,0,5.41433387098661,0.0004922805029803929,2,5,2,14.5,14.848090300010517
Similar queries versus varied queries,redundancy-6d,Uniform Online SAMD,5,0,58.19363391123958,0.025530537695956146,0,0,0,,0.005267620016820729
Stronger parameter noise,strong-noise-4d,Pedro algorithm,5,0,15.319797747515967,0.017698728030435436,0,1,0,,0.05262188001070171
Stronger parameter noise,strong-noise-4d,Genious Pedro,0,5,,,0,0,0,,0.12610198000911624
Stronger parameter noise,strong-noise-4d,Score base model,5,0,5.184981383770101,0.0020482816697329725,3,5,3,15.666666666666666,9.911821959982626
Stronger parameter noise,strong-noise-4d,Uniform Online SAMD,5,0,39.679846593199144,0.08422478654190961,0,0,0,,0.00306509998627007
