algorithm,t,valid,angle_mean_degrees_valid_only,regret_mean_valid_only
Pedro algorithm,1,40,52.41065820873105,0.25577748130447964
Pedro algorithm,5,40,33.52657242086718,0.0783590755788671
Pedro algorithm,10,38,19.831566004399914,0.021375833519582166
Pedro algorithm,15,38,17.956921977048758,0.016091957255458894
Pedro algorithm,20,38,15.626672354038494,0.013870861818873292
Genious Pedro,1,40,52.41065820873105,0.25577748130447964
Genious Pedro,5,40,25.51060041115887,0.043422689864804145
Genious Pedro,10,34,21.296376628660216,0.029247779313682328
Genious Pedro,15,30,13.237152180750076,0.015582132297196937
Genious Pedro,20,15,12.421594164460002,0.01737769820205495
Score base model,1,40,53.60796542331614,0.24829770675795926
Score base model,5,40,17.513696459299542,0.023096128448773685
Score base model,10,40,10.153220021068723,0.009296085842600187
Score base model,15,40,6.526689732723106,0.0039322091147991605
Score base model,20,40,3.8257666768567247,0.0009765925876815205
Uniform Online SAMD,1,40,59.44509929954167,0.2788710064167216
Uniform Online SAMD,5,40,42.37656678822069,0.10102042416535398
Uniform Online SAMD,10,40,40.985182277140176,0.0766252727952079
Uniform Online SAMD,15,40,40.97092204912693,0.07575093014940593
Uniform Online SAMD,20,40,42.48552072697474,0.0754854610455997
