step,constraint_count,feasible_direction_fraction,sampled_feasible_count,angular_diameter,minimum_margin,mean_margin,violation_rate,maximum_violation
1,4.0,0.1425,114.0,0.8250272168011098,0.40454879421087914,0.5634663135580682,0.0,0.0
2,8.0,0.1225,98.0,0.7613300192522812,0.3756998597543741,0.6181521281990995,0.0,0.0
3,12.0,0.14,112.0,0.7438363363564922,0.37569985975437414,0.6911431558390541,0.0,0.0
4,16.0,0.1125,90.0,0.7603460757138507,0.3756998597543737,0.7398810829128363,0.0,0.0
5,20.0,0.115,92.0,0.734616984900135,0.37569985975437387,0.7777306654566404,0.0,0.0
6,24.0,0.10875,87.0,0.6115388692136909,0.3058863075263306,0.7827239958607409,0.0,0.0
7,28.0,0.00375,3.0,0.006552374417433058,0.014626407219189123,0.6752897652089119,0.0,0.0
8,32.0,0.00125,1.0,0.0,0.014626407219192027,0.6564044481994561,0.0,0.0
9,36.0,0.0025,2.0,0.008615528973989497,0.014626407219191685,0.6386485009822229,0.0,0.0
10,40.0,0.00625,5.0,0.024010584208547896,0.014626407219193557,0.6358799464544458,0.0,0.0
11,44.0,0.00625,5.0,0.027002090551260346,0.014626407219198546,0.600610656585106,0.0,0.0
12,48.0,0.005,4.0,0.003768269187676038,0.014626407219190528,0.5997867831279003,0.0,0.0
13,52.0,0.0025,2.0,0.005655810396131765,0.014626407219192184,0.5988138792003811,0.0,0.0
14,56.0,0.005,4.0,0.0248574518693419,0.014626407219195817,0.5816929135928799,0.0,0.0
15,60.0,0.0025,2.0,0.0018369627721903977,0.014626407219186453,0.5837365366358295,0.0,0.0
16,64.0,0.005,4.0,0.019549027333131054,0.014626407219191256,0.6084908385578791,0.0,0.0
