step,loss,radius,theta_0,theta_1
1,,0.4045487942110358,-0.7996963598015336,0.6004046403219884
2,,0.3756998597543743,-0.7804940922961776,0.6251631562166521
3,,0.3756998597543752,-0.7804940922961775,0.6251631562166521
4,,0.3756998597543751,-0.7804940922961771,0.6251631562166526
5,,0.3756998597543748,-0.7804940922961776,0.6251631562166519
6,,0.30588630752633095,-0.8247377985621517,0.5655153080358264
7,,0.014626407221796962,-0.9539022972080102,0.30011732269444424
8,,0.014626407232877885,-0.9539022972080055,0.30011732269445945
9,,0.014626407221076268,-0.9539022972080092,0.30011732269444663
10,,0.014626407220943896,-0.9539022972080089,0.30011732269444846
11,,0.014626407219198357,-0.9539022972080071,0.3001173226944532
12,,0.014626407220313558,-0.9539022972080098,0.3001173226944456
13,,0.014626407220253818,-0.9539022972080092,0.3001173226944472
14,,0.01462640722048707,-0.9539022972080066,0.30011732269445585
15,,0.014626407221558809,-0.9539022972080038,0.3001173226944648
16,,0.014626407221658482,-0.9539022972080096,0.3001173226944463
